,date_transaction,payment_reference,date,currency,time,price
0,2023-11-21,"""Zahlungsreferenz: BURGERISTA   2361  K2   21.11. 12:53 Kartenfolge-Nr.: 2""",2023-11-21,EUR,1900-01-01 12:53:00,5.4
1,2023-12-07,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.12. 20:36 Kartenfolge-Nr.: 2""",2023-12-06,EUR,1900-01-01 20:36:00,5.4
2,2023-12-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   08.12. 19:37 Kartenfolge-Nr.: 2""",2023-12-08,EUR,1900-01-01 19:37:00,9.6
3,2024-01-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   04.01. 21:49 Kartenfolge-Nr.: 2""",2024-01-04,EUR,1900-01-01 21:49:00,10.1
4,2024-01-08,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.01. 20:20 Kartenfolge-Nr.: 2""",2024-01-06,EUR,1900-01-01 20:20:00,10.1
5,2024-01-11,"""Zahlungsreferenz: BURGERISTA   2361  K2   10.01. 21:20 Kartenfolge-Nr.: 2""",2024-01-10,EUR,1900-01-01 21:20:00,10.1
6,2024-01-16,"""Zahlungsreferenz: BURGERISTA   2361  K2   16.01. 15:26 Kartenfolge-Nr.: 2""",2024-01-16,EUR,1900-01-01 15:26:00,10.1
7,2024-01-23,"""Zahlungsreferenz: BURGERISTA   2361  K2   23.01. 19:22 Kartenfolge-Nr.: 2""",2024-01-23,EUR,1900-01-01 19:22:00,5.9
8,2024-01-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.01. 19:43 Kartenfolge-Nr.: 2""",2024-01-28,EUR,1900-01-01 19:43:00,5.9
9,2024-01-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.01. 19:53 Kartenfolge-Nr.: 2""",2024-01-27,EUR,1900-01-01 19:53:00,10.1
10,2024-02-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.02. 17:59 Kartenfolge-Nr.: 2""",2024-02-05,EUR,1900-01-01 17:59:00,12.3
11,2024-02-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   04.02. 18:35 Kartenfolge-Nr.: 2""",2024-02-04,EUR,1900-01-01 18:35:00,5.9
12,2024-02-12,"""Zahlungsreferenz: BURGERISTA   2361  K2   11.02. 19:53 Kartenfolge-Nr.: 2""",2024-02-11,EUR,1900-01-01 19:53:00,5.9
13,2024-02-19,"""Zahlungsreferenz: BURGERISTA   2361  K2   17.02. 20:36 Kartenfolge-Nr.: 2""",2024-02-17,EUR,1900-01-01 20:36:00,5.9
14,2024-02-22,"""Zahlungsreferenz: BURGERISTA   2361  K2   21.02. 21:19 Kartenfolge-Nr.: 2""",2024-02-21,EUR,1900-01-01 21:19:00,5.9
15,2024-02-26,"""Zahlungsreferenz: BURGERISTA   2361  K2   24.02. 21:10 Kartenfolge-Nr.: 2""",2024-02-24,EUR,1900-01-01 21:10:00,5.9
16,2024-02-29,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.02. 21:26 Kartenfolge-Nr.: 2""",2024-02-28,EUR,1900-01-01 21:26:00,4.2
